Comment,clean_text,lower_text,normalized_text,stopwords_text,tokenized_text,stemmed_text,label,polarity_score,polarity
"Aku percaya, karna kerja keras tanpa doa buruk, tp doa tanpa kerja keras KLO Allah mau bisa, tp  kerja keras dan doa is the best",Aku percaya karna kerja keras tanpa doa buruk tp doa tanpa kerja keras KLO Allah mau bisa tp kerja keras dan doa is the best,aku percaya karna kerja keras tanpa doa buruk tp doa tanpa kerja keras klo allah mau bisa tp kerja keras dan doa is the best,aku percaya karna kerja keras tanpa doa buruk tapi doa tanpa kerja keras kalau allah mau bisa tapi kerja keras dan doa is the best,aku percaya karna kerja keras tanpa doa buruk tapi doa tanpa kerja keras kalau allah mau bisa tapi kerja keras doa is the best,"['aku', 'percaya', 'karna', 'kerja', 'keras', 'tanpa', 'doa', 'buruk', 'tapi', 'doa', 'tanpa', 'kerja', 'keras', 'kalau', 'allah', 'mau', 'bisa', 'tapi', 'kerja', 'keras', 'doa', 'is', 'the', 'best']","['aku', 'percaya', 'karna', 'kerja', 'keras', 'tanpa', 'doa', 'buruk', 'tapi', 'doa', 'tanpa', 'kerja', 'keras', 'kalau', 'allah', 'mau', 'bisa', 'tapi', 'kerja', 'keras', 'doa', 'is', 'the', 'best']","['aku', 'percaya', 'karna', 'kerja', 'keras', 'tanpa', 'doa', 'buruk', 'tapi', 'doa', 'tanpa', 'kerja', 'keras', 'kalau', 'allah', 'mau', 'bisa', 'tapi', 'kerja', 'keras', 'doa', 'is', 'the', 'best']",12,1
"Ga bakal bisa ,mayoritas sdm kita masih jauh buat kesana Jangankan peduli negri peduli sama lingkungan sekirtarnya aja hampir ga ada dan minoritas yg ppeduli dan mempunyai banyak gagasan malah lebih milih pindah kewarganegaraan dan lebih mirisnya lagi yg peduli sama lingkungan dan satwa indonesia di banyak tmpat malah WNA",Ga bakal bisa mayoritas sdm kita masih jauh buat kesana Jangankan peduli negri peduli sama lingkungan sekirtarnya aja hampir ga ada dan minoritas yg ppeduli dan mempunyai banyak gagasan malah lebih milih pindah kewarganegaraan dan lebih mirisnya lagi yg peduli sama lingkungan dan satwa indonesia di banyak tmpat malah WNA,ga bakal bisa mayoritas sdm kita masih jauh buat kesana jangankan peduli negri peduli sama lingkungan sekirtarnya aja hampir ga ada dan minoritas yg ppeduli dan mempunyai banyak gagasan malah lebih milih pindah kewarganegaraan dan lebih mirisnya lagi yg peduli sama lingkungan dan satwa indonesia di banyak tmpat malah wna,tidak bakal bisa mayoritas sdm kita masih jauh buat kesana jangankan peduli negri peduli sama lingkungan sekirtarnya saja hampir tidak ada dan minoritas yang ppeduli dan mempunyai banyak gagasan malah lebih milih pindah kewarganegaraan dan lebih mirisnya lagi yang peduli sama lingkungan dan satwa indonesia di banyak tmpat malah wna,tidak bakal bisa mayoritas sdm kita masih jauh buat kesana jangankan peduli negri peduli sama lingkungan sekirtarnya saja hampir tidak ada minoritas ppeduli mempunyai banyak gagasan malah lebih milih pindah kewarganegaraan lebih mirisnya lagi peduli sama lingkungan satwa indonesia banyak tmpat malah wna,"['tidak', 'bakal', 'bisa', 'mayoritas', 'sdm', 'kita', 'masih', 'jauh', 'buat', 'kesana', 'jangankan', 'peduli', 'negri', 'peduli', 'sama', 'lingkungan', 'sekirtarnya', 'saja', 'hampir', 'tidak', 'ada', 'minoritas', 'ppeduli', 'mempunyai', 'banyak', 'gagasan', 'malah', 'lebih', 'milih', 'pindah', 'kewarganegaraan', 'lebih', 'mirisnya', 'lagi', 'peduli', 'sama', 'lingkungan', 'satwa', 'indonesia', 'banyak', 'tmpat', 'malah', 'wna']","['tidak', 'bakal', 'bisa', 'mayoritas', 'sdm', 'kita', 'masih', 'jauh', 'buat', 'kesana', 'jangan', 'peduli', 'negri', 'peduli', 'sama', 'lingkung', 'sekirtarnya', 'saja', 'hampir', 'tidak', 'ada', 'minoritas', 'ppeduli', 'punya', 'banyak', 'gagas', 'malah', 'lebih', 'milih', 'pindah', 'kewarganegaraan', 'lebih', 'miris', 'lagi', 'peduli', 'sama', 'lingkung', 'satwa', 'indonesia', 'banyak', 'tmpat', 'malah', 'wna']","['tidak', 'bakal', 'bisa', 'mayoritas', 'sdm', 'kita', 'masih', 'jauh', 'buat', 'kesana', 'jangan', 'peduli', 'negri', 'peduli', 'sama', 'lingkung', 'sekirtarnya', 'saja', 'hampir', 'tidak', 'ada', 'minoritas', 'ppeduli', 'punya', 'banyak', 'gagas', 'malah', 'lebih', 'milih', 'pindah', 'kewarganegaraan', 'lebih', 'miris', 'lagi', 'peduli', 'sama', 'lingkung', 'satwa', 'indonesia', 'banyak', 'tmpat', 'malah', 'wna']",-9,0
gak boleh percaya. terus kapan kita punya mimpi? kalo liat sekarang dan stuck. gimana kita punya masa depan,gak boleh percaya terus kapan kita punya mimpi kalo liat sekarang dan stuck gimana kita punya masa depan,gak boleh percaya terus kapan kita punya mimpi kalo liat sekarang dan stuck gimana kita punya masa depan,tidak boleh percaya terus kapan kita punya mimpi kalo liat sekarang dan stuck gimana kita punya masa depan,tidak boleh percaya terus kapan kita punya mimpi kalo liat sekarang stuck gimana kita punya masa depan,"['tidak', 'boleh', 'percaya', 'terus', 'kapan', 'kita', 'punya', 'mimpi', 'kalo', 'liat', 'sekarang', 'stuck', 'gimana', 'kita', 'punya', 'masa', 'depan']","['tidak', 'boleh', 'percaya', 'terus', 'kapan', 'kita', 'punya', 'mimpi', 'kalo', 'liat', 'sekarang', 'stuck', 'gimana', 'kita', 'punya', 'masa', 'depan']","['tidak', 'boleh', 'percaya', 'terus', 'kapan', 'kita', 'punya', 'mimpi', 'kalo', 'liat', 'sekarang', 'stuck', 'gimana', 'kita', 'punya', 'masa', 'depan']",8,1
"TAHUN 2045 INDONESIA TETAP SEPERTI THN 2024 TETAP IMPORT BARANG, BANYAK SARJANA TDK DIPAKAI, APAKH OVER SARJANA / PEMERINTAH BINGUNG MEMANFAATKAN.",TAHUN 2045 INDONESIA TETAP SEPERTI THN 2024 TETAP IMPORT BARANG BANYAK SARJANA TDK DIPAKAI APAKH OVER SARJANA PEMERINTAH BINGUNG MEMANFAATKAN,tahun 2045 indonesia tetap seperti thn 2024 tetap import barang banyak sarjana tdk dipakai apakh over sarjana pemerintah bingung memanfaatkan,tahun 2045 indonesia tetap seperti thn 2024 tetap import barang banyak sarjana tidak dipakai apakh over sarjana pemerintah bingung memanfaatkan,tahun 2045 indonesia tetap seperti thn 2024 tetap import barang banyak sarjana tidak dipakai apakh over sarjana pemerintah bingung memanfaatkan,"['tahun', '2045', 'indonesia', 'tetap', 'seperti', 'thn', '2024', 'tetap', 'import', 'barang', 'banyak', 'sarjana', 'tidak', 'dipakai', 'apakh', 'over', 'sarjana', 'pemerintah', 'bingung', 'memanfaatkan']","['tahun', '2045', 'indonesia', 'tetap', 'seperti', 'thn', '2024', 'tetap', 'import', 'barang', 'banyak', 'sarjana', 'tidak', 'pakai', 'apakh', 'over', 'sarjana', 'perintah', 'bingung', 'manfaat']","['tahun', '2045', 'indonesia', 'tetap', 'seperti', 'thn', '2024', 'tetap', 'import', 'barang', 'banyak', 'sarjana', 'tidak', 'pakai', 'apakh', 'over', 'sarjana', 'perintah', 'bingung', 'manfaat']",7,1
Saya pikir pasti Masih Ada banyak korupsi,Saya pikir pasti Masih Ada banyak korupsi,saya pikir pasti masih ada banyak korupsi,saya pikir pasti masih ada banyak korupsi,saya pikir pasti masih ada banyak korupsi,"['saya', 'pikir', 'pasti', 'masih', 'ada', 'banyak', 'korupsi']","['saya', 'pikir', 'pasti', 'masih', 'ada', 'banyak', 'korupsi']","['saya', 'pikir', 'pasti', 'masih', 'ada', 'banyak', 'korupsi']",-4,0
"Kata nya pengamat atau parpol pendukung Jkw sukses sbg pemimpin. Infrastruktur jalan tol bukan sebagai tolok ukur karena tol punya investor dan rakyat yg bayar, brp tiket tol!? 
Sejahtera kah kita pengguna tol!!!",Kata nya pengamat atau parpol pendukung Jkw sukses sbg pemimpin Infrastruktur jalan tol bukan sebagai tolok ukur karena tol punya investor dan rakyat yg bayar brp tiket tol Sejahtera kah kita pengguna tol,kata nya pengamat atau parpol pendukung jkw sukses sbg pemimpin infrastruktur jalan tol bukan sebagai tolok ukur karena tol punya investor dan rakyat yg bayar brp tiket tol sejahtera kah kita pengguna tol,kata nya pengamat atau parpol pendukung jkw sukses sbg pemimpin infrastruktur jalan tol bukan sebagai tolok ukur karena tol punya investor dan rakyat yang bayar brp tiket tol sejahtera kah kita pengguna tol,kata pengamat parpol pendukung jkw sukses sbg pemimpin infrastruktur jalan tol bukan sebagai tolok ukur karena tol punya investor rakyat bayar brp tiket tol sejahtera kita pengguna tol,"['kata', 'pengamat', 'parpol', 'pendukung', 'jkw', 'sukses', 'sbg', 'pemimpin', 'infrastruktur', 'jalan', 'tol', 'bukan', 'sebagai', 'tolok', 'ukur', 'karena', 'tol', 'punya', 'investor', 'rakyat', 'bayar', 'brp', 'tiket', 'tol', 'sejahtera', 'kita', 'pengguna', 'tol']","['kata', 'amat', 'parpol', 'dukung', 'jkw', 'sukses', 'sbg', 'pimpin', 'infrastruktur', 'jalan', 'tol', 'bukan', 'bagai', 'tolok', 'ukur', 'karena', 'tol', 'punya', 'investor', 'rakyat', 'bayar', 'brp', 'tiket', 'tol', 'sejahtera', 'kita', 'guna', 'tol']","['kata', 'amat', 'parpol', 'dukung', 'jkw', 'sukses', 'sbg', 'pimpin', 'infrastruktur', 'jalan', 'tol', 'bukan', 'bagai', 'tolok', 'ukur', 'karena', 'tol', 'punya', 'investor', 'rakyat', 'bayar', 'brp', 'tiket', 'tol', 'sejahtera', 'kita', 'guna', 'tol']",9,1
Emang kaesang pejabat??,Emang kaesang pejabat,emang kaesang pejabat,emang kaesang pejabat,emang kaesang pejabat,"['emang', 'kaesang', 'pejabat']","['emang', 'kaesang', 'jabat']","['emang', 'kaesang', 'jabat']",-3,0
Kaya tanahnya iya tapi tdk dg negaranya..mungkin indonesia kayak india ..negaranya doang yg kaya tapi rakyatnya kismin😂,Kaya tanahnya iya tapi tdk dg negaranyamungkin indonesia kayak india negaranya doang yg kaya tapi rakyatnya kismin,kaya tanahnya iya tapi tdk dg negaranyamungkin indonesia kayak india negaranya doang yg kaya tapi rakyatnya kismin,kaya tanahnya iya tapi tidak dengan negaranyamungkin indonesia kayak india negaranya doang yang kaya tapi rakyatnya kismin,kaya tanahnya iya tapi tidak negaranyamungkin indonesia kayak india negaranya doang kaya tapi rakyatnya kismin,"['kaya', 'tanahnya', 'iya', 'tapi', 'tidak', 'negaranyamungkin', 'indonesia', 'kayak', 'india', 'negaranya', 'doang', 'kaya', 'tapi', 'rakyatnya', 'kismin']","['kaya', 'tanah', 'iya', 'tapi', 'tidak', 'negaranyamungkin', 'indonesia', 'kayak', 'india', 'negara', 'doang', 'kaya', 'tapi', 'rakyat', 'kismin']","['kaya', 'tanah', 'iya', 'tapi', 'tidak', 'negaranyamungkin', 'indonesia', 'kayak', 'india', 'negara', 'doang', 'kaya', 'tapi', 'rakyat', 'kismin']",-8,0
duit kita abis buat nyebokin din*sti 😂😂,duit kita abis buat nyebokin dinsti,duit kita abis buat nyebokin dinsti,duit kita abis buat nyebokin dinsti,duit kita abis buat nyebokin dinsti,"['duit', 'kita', 'abis', 'buat', 'nyebokin', 'dinsti']","['duit', 'kita', 'abis', 'buat', 'nyebokin', 'dinsti']","['duit', 'kita', 'abis', 'buat', 'nyebokin', 'dinsti']",0,1
"Intinya klo mau negara maju harus ada pemimpin yg membimbing , dan mencintai rakyatnya, 
Itusih point pentingnya. Referensi Uni Emirat Arab",Intinya klo mau negara maju harus ada pemimpin yg membimbing dan mencintai rakyatnya Itusih point pentingnya Referensi Uni Emirat Arab,intinya klo mau negara maju harus ada pemimpin yg membimbing dan mencintai rakyatnya itusih point pentingnya referensi uni emirat arab,intinya kalau mau negara maju harus ada pemimpin yang membimbing dan mencintai rakyatnya itusih point pentingnya referensi uni emirat arab,intinya kalau mau negara maju harus ada pemimpin membimbing mencintai rakyatnya itusih point pentingnya referensi uni emirat arab,"['intinya', 'kalau', 'mau', 'negara', 'maju', 'harus', 'ada', 'pemimpin', 'membimbing', 'mencintai', 'rakyatnya', 'itusih', 'point', 'pentingnya', 'referensi', 'uni', 'emirat', 'arab']","['inti', 'kalau', 'mau', 'negara', 'maju', 'harus', 'ada', 'pimpin', 'bimbing', 'cinta', 'rakyat', 'itusih', 'point', 'penting', 'referensi', 'uni', 'emirat', 'arab']","['inti', 'kalau', 'mau', 'negara', 'maju', 'harus', 'ada', 'pimpin', 'bimbing', 'cinta', 'rakyat', 'itusih', 'point', 'penting', 'referensi', 'uni', 'emirat', 'arab']",0,1
Dimana ada dana di situ ada koruptor nah itu yg bikin susah apalagi hukuman gak sebanding seakan di pelihara pelihara negara dan partai 😂😂,Dimana ada dana di situ ada koruptor nah itu yg bikin susah apalagi hukuman gak sebanding seakan di pelihara pelihara negara dan partai,dimana ada dana di situ ada koruptor nah itu yg bikin susah apalagi hukuman gak sebanding seakan di pelihara pelihara negara dan partai,dimana ada dana di situ ada koruptor nah itu yang bikin susah apalagi hukuman tidak sebanding seakan di pelihara pelihara negara dan partai,dimana ada dana situ ada koruptor nah itu bikin susah apalagi hukuman tidak sebanding seakan pelihara pelihara negara partai,"['dimana', 'ada', 'dana', 'situ', 'ada', 'koruptor', 'nah', 'itu', 'bikin', 'susah', 'apalagi', 'hukuman', 'tidak', 'sebanding', 'seakan', 'pelihara', 'pelihara', 'negara', 'partai']","['mana', 'ada', 'dana', 'situ', 'ada', 'koruptor', 'nah', 'itu', 'bikin', 'susah', 'apalagi', 'hukum', 'tidak', 'banding', 'akan', 'pelihara', 'pelihara', 'negara', 'partai']","['mana', 'ada', 'dana', 'situ', 'ada', 'koruptor', 'nah', 'itu', 'bikin', 'susah', 'apalagi', 'hukum', 'tidak', 'banding', 'akan', 'pelihara', 'pelihara', 'negara', 'partai']",2,1
Mewakili benget 😂😂😂😂,Mewakili benget,mewakili benget,mewakili benget,mewakili benget,"['mewakili', 'benget']","['wakil', 'benget']","['wakil', 'benget']",0,1
"Indonesia emas arti nya banyak phk😂😂
Ganti indonesia L+EMAS",Indonesia emas arti nya banyak phk Ganti indonesia LEMAS,indonesia emas arti nya banyak phk ganti indonesia lemas,indonesia emas arti nya banyak phk ganti indonesia lemas,indonesia emas arti banyak phk ganti indonesia lemas,"['indonesia', 'emas', 'arti', 'banyak', 'phk', 'ganti', 'indonesia', 'lemas']","['indonesia', 'emas', 'arti', 'banyak', 'phk', 'ganti', 'indonesia', 'lemas']","['indonesia', 'emas', 'arti', 'banyak', 'phk', 'ganti', 'indonesia', 'lemas']",6,1
2045?? 2500 bossss,2045 2500 bossss,2045 2500 bossss,2045 2500 bossss,2045 2500 bossss,"['2045', '2500', 'bossss']","['2045', '2500', 'bossss']","['2045', '2500', 'bossss']",0,1
SKEPTIS,SKEPTIS,skeptis,skeptis,skeptis,['skeptis'],['skeptis'],['skeptis'],0,1
"ayolah.. influencer perlu jd penggerak laju bangsa ini,salah satunya berani speak soal kritisi politisi yg membelot,jangan cma buat di lingkaran nyaman aja,,,sekali kali stand out &speak up buat bantu kemajuan system bangsa ini",ayolah influencer perlu jd penggerak laju bangsa inisalah satunya berani speak soal kritisi politisi yg membelotjangan cma buat di lingkaran nyaman ajasekali kali stand out speak up buat bantu kemajuan system bangsa ini,ayolah influencer perlu jd penggerak laju bangsa inisalah satunya berani speak soal kritisi politisi yg membelotjangan cma buat di lingkaran nyaman ajasekali kali stand out speak up buat bantu kemajuan system bangsa ini,ayolah influencer perlu jadi penggerak laju bangsa inisalah satunya berani speak soal kritisi politisi yang membelotjangan cma buat di lingkaran nyaman ajasekali kali stand out speak up buat bantu kemajuan system bangsa ini,ayolah influencer perlu jadi penggerak laju bangsa inisalah satunya berani speak soal kritisi politisi membelotjangan cma buat lingkaran nyaman ajasekali kali stand out speak up buat bantu kemajuan system bangsa ini,"['ayolah', 'influencer', 'perlu', 'jadi', 'penggerak', 'laju', 'bangsa', 'inisalah', 'satunya', 'berani', 'speak', 'soal', 'kritisi', 'politisi', 'membelotjangan', 'cma', 'buat', 'lingkaran', 'nyaman', 'ajasekali', 'kali', 'stand', 'out', 'speak', 'up', 'buat', 'bantu', 'kemajuan', 'system', 'bangsa', 'ini']","['ayo', 'influencer', 'perlu', 'jadi', 'gerak', 'laju', 'bangsa', 'inisalah', 'satu', 'berani', 'speak', 'soal', 'kritisi', 'politis', 'membelotjangan', 'cma', 'buat', 'lingkar', 'nyaman', 'ajasekali', 'kali', 'stand', 'out', 'speak', 'up', 'buat', 'bantu', 'maju', 'system', 'bangsa', 'ini']","['ayo', 'influencer', 'perlu', 'jadi', 'gerak', 'laju', 'bangsa', 'inisalah', 'satu', 'berani', 'speak', 'soal', 'kritisi', 'politis', 'membelotjangan', 'cma', 'buat', 'lingkar', 'nyaman', 'ajasekali', 'kali', 'stand', 'out', 'speak', 'up', 'buat', 'bantu', 'maju', 'system', 'bangsa', 'ini']",8,1
"Pray for Indonesia 🇮🇩🥹 fuck all Everyone Countries (flag) (2045)

#prayforindonesia
#saveindonesia",Pray for Indonesia fuck all Everyone Countries flag 2045,pray for indonesia fuck all everyone countries flag 2045,pray for indonesia fuck all everyone countries flag 2045,pray for indonesia fuck all everyone countries flag 2045,"['pray', 'for', 'indonesia', 'fuck', 'all', 'everyone', 'countries', 'flag', '2045']","['pray', 'for', 'indonesia', 'fuck', 'all', 'everyone', 'countries', 'flag', '2045']","['pray', 'for', 'indonesia', 'fuck', 'all', 'everyone', 'countries', 'flag', '2045']",0,1
Ga bisa sih bang soal nya aku liat di kalender hp cuman sampe 2026 doang,Ga bisa sih bang soal nya aku liat di kalender hp cuman sampe 2026 doang,ga bisa sih bang soal nya aku liat di kalender hp cuman sampe 2026 doang,tidak bisa sih bang soal nya aku liat di kalender hp cuman sampe 2026 doang,tidak bisa sih bang soal aku liat kalender hp cuman sampe 2026 doang,"['tidak', 'bisa', 'sih', 'bang', 'soal', 'aku', 'liat', 'kalender', 'hp', 'cuman', 'sampe', '2026', 'doang']","['tidak', 'bisa', 'sih', 'bang', 'soal', 'aku', 'liat', 'kalender', 'hp', 'cuman', 'sampe', '2026', 'doang']","['tidak', 'bisa', 'sih', 'bang', 'soal', 'aku', 'liat', 'kalender', 'hp', 'cuman', 'sampe', '2026', 'doang']",-4,0
Kalok gak percayah pindah negarah ajah los orang itu,Kalok gak percayah pindah negarah ajah los orang itu,kalok gak percayah pindah negarah ajah los orang itu,kalok tidak percayah pindah negarah ajah los orang itu,kalok tidak percayah pindah negarah ajah los orang itu,"['kalok', 'tidak', 'percayah', 'pindah', 'negarah', 'ajah', 'los', 'orang', 'itu']","['kalok', 'tidak', 'percayah', 'pindah', 'negarah', 'ajah', 'los', 'orang', 'itu']","['kalok', 'tidak', 'percayah', 'pindah', 'negarah', 'ajah', 'los', 'orang', 'itu']",-9,0
"Bang reymon tuh pandai , semua bisa dia komentari , terutama masalah ekonomi , semoga orang"" spt dia harusnya lebih vokal utk menyadarkan para pejabat yg gak bener , bravo bang 
Barokallah 👍👍",Bang reymon tuh pandai semua bisa dia komentari terutama masalah ekonomi semoga orang spt dia harusnya lebih vokal utk menyadarkan para pejabat yg gak bener bravo bang Barokallah,bang reymon tuh pandai semua bisa dia komentari terutama masalah ekonomi semoga orang spt dia harusnya lebih vokal utk menyadarkan para pejabat yg gak bener bravo bang barokallah,bang reymon tuh pandai semua bisa dia komentari terutama masalah ekonomi semoga orang spt dia harusnya lebih vokal untuk menyadarkan para pejabat yang tidak bener bravo bang barokallah,bang reymon pandai semua bisa dia komentari terutama masalah ekonomi semoga orang spt dia harusnya lebih vokal menyadarkan para pejabat tidak bener bravo bang barokallah,"['bang', 'reymon', 'pandai', 'semua', 'bisa', 'dia', 'komentari', 'terutama', 'masalah', 'ekonomi', 'semoga', 'orang', 'spt', 'dia', 'harusnya', 'lebih', 'vokal', 'menyadarkan', 'para', 'pejabat', 'tidak', 'bener', 'bravo', 'bang', 'barokallah']","['bang', 'reymon', 'pandai', 'semua', 'bisa', 'dia', 'komentar', 'utama', 'masalah', 'ekonomi', 'moga', 'orang', 'spt', 'dia', 'harus', 'lebih', 'vokal', 'sadar', 'para', 'jabat', 'tidak', 'bener', 'bravo', 'bang', 'barokallah']","['bang', 'reymon', 'pandai', 'semua', 'bisa', 'dia', 'komentar', 'utama', 'masalah', 'ekonomi', 'moga', 'orang', 'spt', 'dia', 'harus', 'lebih', 'vokal', 'sadar', 'para', 'jabat', 'tidak', 'bener', 'bravo', 'bang', 'barokallah']",-19,0
Celos bingung nyapunya😂😂,Celos bingung nyapunya,celos bingung nyapunya,celos bingung nyapunya,celos bingung nyapunya,"['celos', 'bingung', 'nyapunya']","['celos', 'bingung', 'nyapunya']","['celos', 'bingung', 'nyapunya']",0,1
"2045 siap melaksanakan perintah Presiden Jokowi...min ( mbokyau kamu bersyukur punya podcast yg benci Jokowi, coba bayangkan hidup di jaman thn 85 )...please silahkan Monggo pindah ke bulan",2045 siap melaksanakan perintah Presiden Jokowimin mbokyau kamu bersyukur punya podcast yg benci Jokowi coba bayangkan hidup di jaman thn 85 please silahkan Monggo pindah ke bulan,2045 siap melaksanakan perintah presiden jokowimin mbokyau kamu bersyukur punya podcast yg benci jokowi coba bayangkan hidup di jaman thn 85 please silahkan monggo pindah ke bulan,2045 siap melaksanakan perintah presiden jokowimin mbokyau kamu bersyukur punya podcast yang benci jokowi coba bayangkan hidup di jaman thn 85 please silahkan monggo pindah ke bulan,2045 siap melaksanakan perintah presiden jokowimin mbokyau kamu bersyukur punya podcast benci jokowi coba bayangkan hidup jaman thn 85 please silahkan monggo pindah bulan,"['2045', 'siap', 'melaksanakan', 'perintah', 'presiden', 'jokowimin', 'mbokyau', 'kamu', 'bersyukur', 'punya', 'podcast', 'benci', 'jokowi', 'coba', 'bayangkan', 'hidup', 'jaman', 'thn', '85', 'please', 'silahkan', 'monggo', 'pindah', 'bulan']","['2045', 'siap', 'laksana', 'perintah', 'presiden', 'jokowimin', 'mbokyau', 'kamu', 'syukur', 'punya', 'podcast', 'benci', 'jokowi', 'coba', 'bayang', 'hidup', 'jaman', 'thn', '85', 'please', 'silah', 'monggo', 'pindah', 'bulan']","['2045', 'siap', 'laksana', 'perintah', 'presiden', 'jokowimin', 'mbokyau', 'kamu', 'syukur', 'punya', 'podcast', 'benci', 'jokowi', 'coba', 'bayang', 'hidup', 'jaman', 'thn', '85', 'please', 'silah', 'monggo', 'pindah', 'bulan']",10,1
"Sekarang sudah indonesia emas, dunia emas. Bagi yang yakin.",Sekarang sudah indonesia emas dunia emas Bagi yang yakin,sekarang sudah indonesia emas dunia emas bagi yang yakin,sekarang sudah indonesia emas dunia emas bagi yang yakin,sekarang sudah indonesia emas dunia emas bagi yakin,"['sekarang', 'sudah', 'indonesia', 'emas', 'dunia', 'emas', 'bagi', 'yakin']","['sekarang', 'sudah', 'indonesia', 'emas', 'dunia', 'emas', 'bagi', 'yakin']","['sekarang', 'sudah', 'indonesia', 'emas', 'dunia', 'emas', 'bagi', 'yakin']",1,1
Yang bikin susah para koruptor dan para pemimpin yang tidak jujur …. Sampe sini paham ??,Yang bikin susah para koruptor dan para pemimpin yang tidak jujur Sampe sini paham,yang bikin susah para koruptor dan para pemimpin yang tidak jujur sampe sini paham,yang bikin susah para koruptor dan para pemimpin yang tidak jujur sampe sini paham,bikin susah para koruptor para pemimpin tidak jujur sampe sini paham,"['bikin', 'susah', 'para', 'koruptor', 'para', 'pemimpin', 'tidak', 'jujur', 'sampe', 'sini', 'paham']","['bikin', 'susah', 'para', 'koruptor', 'para', 'pimpin', 'tidak', 'jujur', 'sampe', 'sini', 'paham']","['bikin', 'susah', 'para', 'koruptor', 'para', 'pimpin', 'tidak', 'jujur', 'sampe', 'sini', 'paham']",-1,0
Lah  kan  sekarang  pandemit  terus  yg mati udh  banyak,Lah kan sekarang pandemit terus yg mati udh banyak,lah kan sekarang pandemit terus yg mati udh banyak,lah kan sekarang pandemit terus yang mati sudah banyak,lah kan sekarang pandemit terus mati sudah banyak,"['lah', 'kan', 'sekarang', 'pandemit', 'terus', 'mati', 'sudah', 'banyak']","['lah', 'kan', 'sekarang', 'pandemit', 'terus', 'mati', 'sudah', 'banyak']","['lah', 'kan', 'sekarang', 'pandemit', 'terus', 'mati', 'sudah', 'banyak']",0,1
Yg bikin susah itu bnyaknya samp*h masyarakat dindonesia seperti koruptor yg harus diberantas,Yg bikin susah itu bnyaknya samph masyarakat dindonesia seperti koruptor yg harus diberantas,yg bikin susah itu bnyaknya samph masyarakat dindonesia seperti koruptor yg harus diberantas,yang bikin susah itu bnyaknya samph masyarakat dindonesia seperti koruptor yang harus diberantas,bikin susah itu bnyaknya samph masyarakat dindonesia seperti koruptor harus diberantas,"['bikin', 'susah', 'itu', 'bnyaknya', 'samph', 'masyarakat', 'dindonesia', 'seperti', 'koruptor', 'harus', 'diberantas']","['bikin', 'susah', 'itu', 'bnyaknya', 'samph', 'masyarakat', 'dindonesia', 'seperti', 'koruptor', 'harus', 'berantas']","['bikin', 'susah', 'itu', 'bnyaknya', 'samph', 'masyarakat', 'dindonesia', 'seperti', 'koruptor', 'harus', 'berantas']",-11,0
Wibu tau apa,Wibu tau apa,wibu tau apa,wibu tau apa,wibu tau apa,"['wibu', 'tau', 'apa']","['wibu', 'tau', 'apa']","['wibu', 'tau', 'apa']",-7,0
KKN,KKN,kkn,kkn,kkn,['kkn'],['kkn'],['kkn'],0,1
